What is your gender?,What is your age?,What is your race?,Are you hispanic?,What is your level of education?,What is your income?
Female,68,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)",Refused
Female,47,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$200,000 and above"
Female,52,Other,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$15,000 - $24,999"
Female,55,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$15,000 - $24,999"
Female,53,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$25,000 - $34,999"
Female,80,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$35,000 - $49,999"
Female,19,White/Caucasian,"Yes, Other","High school graduate or equivalent (i.e., GED)",NA
Male,69,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999"
Male,82,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$50,000 - $74,999"
Female,50,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)",Refused
Male,55,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$200,000 and above"
Female,59,Other,"Yes, Puerto Rican","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999"
Male,60,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$200,000 and above"
Male,54,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999"
Female,53,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Female,51,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)",NA
Female,66,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999"
Female,40,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$150,000-$199,999"
Female,44,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"Less than $14,999"
Female,77,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$35,000 - $49,999"
Female,39,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999"
Male,36,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$200,000 and above"
Female,50,Other,"Yes, Puerto Rican",Some college but degree not received or in progress,"$35,000 - $49,999"
Female,53,Black/ African American/ Caribbean American,"Yes, Other",Some college but degree not received or in progress,"Less than $14,999"
Male,50,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$50,000 - $74,999"
Female,81,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$25,000 - $34,999"
Male,50,Other,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)",Refused
Male,60,Asian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Male,43,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999"
Male,77,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some high school,Refused
Male,70,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)",Refused
Female,60,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$200,000 and above"
Male,53,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999"
Female,48,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)",Refused
Female,48,Black/ African American/ Caribbean American,"Yes, Other","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999"
Male,33,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$35,000 - $49,999"
Female,52,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Female,69,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,Refused
Female,73,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$35,000 - $49,999"
Refused,76,Other,"Yes, Puerto Rican","Bachelor's degree (i.e., BA, BS, AB)","Less than $14,999"
Male,50,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)",Refused
Male,84,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$150,000-$199,999"
Female,58,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999"
Male,48,Two or more races,"Yes, Puerto Rican","High school graduate or equivalent (i.e., GED)","$50,000 - $74,999"
Female,39,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)",Refused
Male,69,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999"
Female,51,Black/ African American/ Caribbean American,"Yes, Puerto Rican",Some high school,"Less than $14,999"
Male,54,Other,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above"
Female,70,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)",Refused
Female,48,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$200,000 and above"
Female,55,Two or more races,"No, not of Hispanic, Latino, or Spanish origin",Some high school,"$50,000 - $74,999"
Female,47,Black/ African American/ Caribbean American,"Yes, Mexican, Mexican American, Chicano","Graduate degree (i.e., Master's, Professional, Doctorate)","$35,000 - $49,999"
Female,73,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999"
Male,65,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above"
Male,54,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)",NA
Male,40,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$25,000 - $34,999"
Female,61,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Female,55,Refused,Refused,"Bachelor's degree (i.e., BA, BS, AB)",Refused
Male,60,Other,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$200,000 and above"
Male,63,Asian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999"
Male,64,Asian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999"
Male,999,Refused,Refused,"Bachelor's degree (i.e., BA, BS, AB)",Refused
Female,63,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999"
Male,64,Refused,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$100,000 - $149,999"
Female,50,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)",Refused
Female,23,Other,"Yes, Other","Associate degree (i.e., AA, AS)","$25,000 - $34,999"
Female,52,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$35,000 - $49,999"
Female,40,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$200,000 and above"
Male,82,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999"
Female,42,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$35,000 - $49,999"
Male,54,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999"
Female,53,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)",Refused
Male,73,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)",NA
Female,999,Other,Refused,Some college but degree not received or in progress,"$35,000 - $49,999"
Female,999,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999"
Female,38,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999"
Female,39,Refused,Refused,"Associate degree (i.e., AA, AS)",Refused
Female,60,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some high school,"Less than $14,999"
Female,68,Black/ African American/ Caribbean American,"Yes, Cuban",Some college but degree not received or in progress,"$50,000 - $74,999"
Female,44,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$75,000 - $99,999"
Female,71,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"Less than $14,999"
Male,71,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$75,000 - $99,999"
Female,999,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)",NA
Female,55,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$100,000 - $149,999"
Male,35,Two or more races,"Yes, Puerto Rican","Associate degree (i.e., AA, AS)",Refused
Male,70,Black/ African American/ Caribbean American,Refused,"High school graduate or equivalent (i.e., GED)","$50,000 - $74,999"
Female,46,Other,"Yes, Other","Associate degree (i.e., AA, AS)","$150,000-$199,999"
Female,61,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$100,000 - $149,999"
Male,51,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$75,000 - $99,999"
Male,57,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$100,000 - $149,999"
Female,60,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$75,000 - $99,999"
Female,59,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999"
Male,66,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Female,59,Other,"Yes, Other","Associate degree (i.e., AA, AS)","$50,000 - $74,999"
Female,40,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$200,000 and above"
Male,60,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$50,000 - $74,999"
Male,22,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$150,000-$199,999"
Male,35,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Female,999,NA,NA,"Graduate degree (i.e., Master's, Professional, Doctorate)",Refused
Male,52,Asian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above"
Male,27,Black/ African American/ Caribbean American,"Yes, Puerto Rican",Some college but degree not received or in progress,"$15,000 - $24,999"
Female,56,White/Caucasian,"Yes, Mexican, Mexican American, Chicano","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999"
Female,70,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some high school,"$35,000 - $49,999"
Female,43,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999"
Female,57,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$50,000 - $74,999"
Male,72,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999"
Male,62,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$100,000 - $149,999"
Female,18,Asian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$25,000 - $34,999"
Male,51,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$100,000 - $149,999"
Female,999,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$35,000 - $49,999"
Female,73,Two or more races,"Yes, Puerto Rican","High school graduate or equivalent (i.e., GED)","$35,000 - $49,999"
Female,49,Other,"Yes, Puerto Rican","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999"
Male,50,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"Less than $14,999"
Female,40,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)",Refused
Female,43,Other,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"Less than $14,999"
Female,72,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$15,000 - $24,999"
Female,60,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$50,000 - $74,999"
Female,45,Refused,"Yes, Other","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999"
Female,44,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999"
Female,35,Other,"Yes, Other","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Female,53,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$15,000 - $24,999"
Female,42,Other,"Yes, Mexican, Mexican American, Chicano",Some college but degree not received or in progress,"$100,000 - $149,999"
Male,38,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)",Refused
Female,63,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)",Refused
Female,40,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$75,000 - $99,999"
Female,44,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$75,000 - $99,999"
Female,40,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$150,000-$199,999"
Female,52,Other,"Yes, Other",Some college but degree not received or in progress,"$50,000 - $74,999"
Male,52,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$75,000 - $99,999"
Male,50,Asian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999"
Female,21,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$25,000 - $34,999"
Female,59,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)",Refused
Female,45,White/Caucasian,"Yes, Puerto Rican","Graduate degree (i.e., Master's, Professional, Doctorate)","$150,000-$199,999"
Female,24,Asian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$35,000 - $49,999"
Female,70,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999"
Female,54,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$75,000 - $99,999"
Female,62,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","Less than $14,999"
Male,57,Asian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Female,49,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$35,000 - $49,999"
Female,46,Other,"Yes, Puerto Rican","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999"
Refused,70,American Indian or Alaska Native,"No, not of Hispanic, Latino, or Spanish origin",Some high school,"Less than $14,999"
Female,46,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","Less than $14,999"
Male,50,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$100,000 - $149,999"
Female,18,Other,"Yes, Puerto Rican","High school graduate or equivalent (i.e., GED)","$50,000 - $74,999"
Female,37,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999"
Female,50,Other,"Yes, Other","Associate degree (i.e., AA, AS)","$75,000 - $99,999"
Female,90,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999"
Female,999,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$35,000 - $49,999"
Female,87,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some high school,"$35,000 - $49,999"
Female,64,White/Caucasian,"Yes, Other","Associate degree (i.e., AA, AS)",NA
Male,64,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$50,000 - $74,999"
Female,70,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some high school,"Less than $14,999"
Male,66,Asian,"No, not of Hispanic, Latino, or Spanish origin",Some high school,"Less than $14,999"
Male,44,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$75,000 - $99,999"
Female,60,Refused,"Yes, Cuban","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999"
Female,70,Black/ African American/ Caribbean American,"Yes, Other","High school graduate or equivalent (i.e., GED)","Less than $14,999"
Female,31,Other,"Yes, Cuban","Associate degree (i.e., AA, AS)","$15,000 - $24,999"
Male,23,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$75,000 - $99,999"
Female,62,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$100,000 - $149,999"
Female,57,Other,"Yes, Other",Some high school,"$15,000 - $24,999"
Female,75,Other,"Yes, Puerto Rican",No high school,NA
Female,27,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",9,Refused
NA,50,Two or more races,"No, not of Hispanic, Latino, or Spanish origin",Some high school,"Less than $14,999"
Female,50,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$25,000 - $34,999"
Female,80,Other,"Yes, Puerto Rican",No high school,"Less than $14,999"
Female,40,Other,"Yes, Other",Some high school,NA
Female,30,Other,"Yes, Other","High school graduate or equivalent (i.e., GED)","Less than $14,999"
Male,68,Other,"Yes, Other",No high school,"Less than $14,999"
Female,65,Other,"Yes, Other",Some high school,"Less than $14,999"
Female,56,Black/ African American/ Caribbean American,"Yes, Puerto Rican","High school graduate or equivalent (i.e., GED)",Refused
Female,81,White/Caucasian,"Yes, Other",No high school,Refused
Female,39,Black/ African American/ Caribbean American,"Yes, Other","Bachelor's degree (i.e., BA, BS, AB)",Refused
Female,47,Other,"Yes, Other","High school graduate or equivalent (i.e., GED)","$50,000 - $74,999"
Female,68,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$75,000 - $99,999"
Female,35,Other,"Yes, Other","Associate degree (i.e., AA, AS)","$35,000 - $49,999"
Male,55,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$15,000 - $24,999"
Male,64,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above"
Male,74,Two or more races,"Yes, Mexican, Mexican American, Chicano","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999"
Male,38,Asian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above"
Male,23,Asian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999"
Female,70,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","Less than $14,999"
Male,78,Black/ African American/ Caribbean American,"Yes, Other",No high school,"$15,000 - $24,999"
Male,48,Asian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999"
Female,28,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999"
Male,35,Other,"Yes, Mexican, Mexican American, Chicano","Bachelor's degree (i.e., BA, BS, AB)",NA
Female,62,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,NA
Male,25,Other,"Yes, Other",Some college but degree not received or in progress,"$35,000 - $49,999"
Female,38,Other,"Yes, Other",Some high school,"$25,000 - $34,999"
Female,56,Other,"Yes, Puerto Rican",Some college but degree not received or in progress,NA
Female,49,Refused,Refused,"Associate degree (i.e., AA, AS)","$75,000 - $99,999"
Male,56,Asian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)",NA
Male,65,Other,"Yes, Puerto Rican",No high school,"Less than $14,999"
Female,56,Other,"Yes, Other",Some high school,"Less than $14,999"
Female,64,Black/ African American/ Caribbean American,"Yes, Other",No high school,NA
Male,36,Black/ African American/ Caribbean American,"Yes, Puerto Rican","Bachelor's degree (i.e., BA, BS, AB)","Less than $14,999"
Male,76,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$150,000-$199,999"
Male,38,White/Caucasian,"Yes, Other","High school graduate or equivalent (i.e., GED)","$100,000 - $149,999"
Female,86,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,NA
Female,51,Other,"Yes, Puerto Rican",Some high school,"$35,000 - $49,999"
Male,77,Other,"Yes, Mexican, Mexican American, Chicano","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999"
Male,21,Asian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$15,000 - $24,999"
Female,40,Black/ African American/ Caribbean American,"Yes, Other","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999"
Female,60,Other,"Yes, Other",Some college but degree not received or in progress,"$15,000 - $24,999"
Female,70,Other,"Yes, Other",Some high school,"Less than $14,999"
Female,18,Other,"Yes, Other",Some college but degree not received or in progress,"$15,000 - $24,999"
Female,48,Black/ African American/ Caribbean American,"Yes, Other",Some high school,"$15,000 - $24,999"
Female,64,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999"
Female,54,Other,"Yes, Other",No high school,"Less than $14,999"
Female,72,Other,"Yes, Other",Some high school,"Less than $14,999"
Female,87,Other,"Yes, Other",Some high school,"Less than $14,999"
Female,51,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999"
Female,59,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999"
Female,30,Two or more races,"Yes, Puerto Rican",Some college but degree not received or in progress,"$15,000 - $24,999"
Male,25,White/Caucasian,"Yes, Other","High school graduate or equivalent (i.e., GED)","$75,000 - $99,999"
Female,60,Other,"Yes, Puerto Rican",Some college but degree not received or in progress,"$75,000 - $99,999"
Female,999,Other,"Yes, Other","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999"
Female,87,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999"
Female,50,Other,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999"
Male,45,Other,"Yes, Puerto Rican","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999"
Female,50,Black/ African American/ Caribbean American,"Yes, Other",Some college but degree not received or in progress,"Less than $14,999"
Female,27,Other,"Yes, Puerto Rican",Some high school,"$15,000 - $24,999"
Female,34,Other,"Yes, Mexican, Mexican American, Chicano",Some college but degree not received or in progress,"$15,000 - $24,999"
Female,62,Black/ African American/ Caribbean American,"Yes, Other","Bachelor's degree (i.e., BA, BS, AB)","$25,000 - $34,999"
Female,61,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$35,000 - $49,999"
Female,51,Other,"Yes, Puerto Rican","High school graduate or equivalent (i.e., GED)","Less than $14,999"
Female,65,Other,"Yes, Other",No high school,"Less than $14,999"
Female,49,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$15,000 - $24,999"
Female,48,Other,"Yes, Other","High school graduate or equivalent (i.e., GED)","Less than $14,999"
Male,65,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$75,000 - $99,999"
Male,66,Other,"Yes, Other",No high school,"Less than $14,999"
Female,65,Other,"Yes, Other",Some high school,"$15,000 - $24,999"
