Team,Empowerment,Gender Groups,Race Groups,Gender Comp,Race Comps,Improvements,Age,Occupation/Title,Are you a current student?,Gender,Education,School
"The ideal quality in a team is good listening skills and an open mindedness to everyone's input and ideas. It includes people with creative mindsets, people who can drive the group in conversations and toward deadlines, people who can foster a positive culture in the group, and people who have an eye for detail in catching our mistakes.","It means giving females the opportunity, freedom, and comfort to lead and speak their minds while not being type casted, judged, or treated differently.","I'm not a fan. If there were a Men in Business Group, how would the female community respond? But seriously, as an underappreciated group, it's good for women to have a place to grow together and if an interest group helps them, go for it. As long as the groups are open to men too then it's fine. But please no women only case competitions.","Again, as underrepresented groups, they probably feel more comfortable with people of a similar race. Especially when you have Trump supporters now empowered to be openly racist and violent. As long as these groups are open to other races, it's fine.",Why segregate women from something they are equally capable as men of doing? It's a bad idea.,It's just a bad idea.,"First of all, hire more. We need women in order to empower them. For those that are here, we do a pretty good job, but they are always outnumbered.",18 - 24,Consultant,No,Male,Bachelor's Degree,University of Texas
"mixed gender, strong group behavior and expectation norms, everyone is reliable and willing to speak their minds in order to create concensus","it is the idea that I can speak up and deserve to be respected and listened to, that my ideas and actions matter. It is also lifting up other women and entrusting power and respect to them.","I think they're important. Especially in male dominated industries like coding, women's groups are tremendously useful ways to network, get advice, and seek answers that you may feel too intimidated to ask in the general work setting.","I think they are tremendously important. Along with being places for networking, they are often places of empowerment and encouragement, as well as safe spaces for communities to air grievances, find solutions, and further often marginalized communities.","I like this idea because, like gender specific interest groups, they create a space for empowerment, connection, and support. That said, when it comes to competition, I think you want to compete against the best of the best- are the best only female or only male? Of course not. Maybe these are places to get your foot in the door- a less intimating way to compete in your first science fair than an open to all one, but ultimately I would want to compete against the best of the best.","Just like gender only ones, I like this idea they create a space for a community to empower, connect, and support. That said, when it comes to competition, I think you want to compete against the best of the best- are the best only Asian or white? Of course not. Maybe these are places to get your foot in the door- a less intimating way to compete in your first science fair than an open to all one, but ultimately I would want to compete against the best of the best.","My field is very female oriented- we are considered a ""pink collar profession."" We don't have any ""females in public health"" because 80% of us are females. It's a rare instance where having a group for majority minority doesn't seem appropriate.",25 - 34,Masters in Public Health Candidate,"Yes, Full-Time",Female,Graduate Degree,Columbia University
My ideal team is a group of people that does their job and does it to the best of their ability.,"Good question. I'm still trying to figure this out myself. For me personally, it's about being my own person. It's about dismissing norms and going full force into my life without stopping. I'm not interested in my main label being ""women"" I'd rather be ""hard working"" or ""successful"". I'm not a successful women designer I'm a successful designer. That doesn't mean I take a blind eye to the challenges I face as a women. I'm very aware of my gender and how I come off but I don't use it as a crutch, nobody should, I never complain or point fingers I'm just aware. I try to keep myself educated on the issues.",Hate it. I mentioned above but I don't want to be a women in tech... I just want to be in tech. The fact that I'm a women shouldn't drive the decisions I make in life. There are so many women in tech now we shouldn't have to highlight it anymore.,I am white so I don't know what it's like to be black or latino so I'm not sure how I feel about these groups and I don't want to put words in anyones mouth or act like I know because I don't.,Sure bring the women together and have a science fair whatever some women would really like that but again I'm not into it. Let's just have a science fair.,"Why exclude? We need to work together as the human race and stop separating people and groups out. If we all took off and went to Mars right now we would be humans from planet earth, not black white and asian.",I feel pretty good here at IBM although I do stay extra aware. I make sure I put my name on my ideas and not let anyone (men) take them because it's happened in the past. If I'm sitting at a table with a bunch of dudes I make sure I stand my ground and speak up. I stand up for myself no as a women but as a human. Ain't nobody walking all over me! :),18 - 24,Graphic Designer,No,Female,Bachelor's Degree,Cornish
"I tend to focus more heavily on groups where the work ethic is similar. My ideal team each person carries their own weight, leaving space for a more light hearted and enjoyable environment.",,I have found that they seclude women more than level the playing field. I don't personally feel like I need a special club to feel empowered or capable.,"As a white woman, I feel a little strange answering this question. I haven't ever personally been a part of an interest group, for obvious reasons, but I do think they have the potential and power to be influential.",I think the division speaks louder than the inclusion.,"It feels really icky, to be honest.","I like to think I already do a pretty good job of empowering the ladies, but there is always room for growth and improvement. An open mind, while cliche, is extremely helpful. Anytime we remove preassigned expectations or ideals, we make the world we live in a little bit bigger.",25 - 34,Business Owner,No,Female,Bachelor's Degree,Texas A&M University
,"Female empowerment is confidence and piece of mind that a woman can work, speak her mind, take risks, and live her life without being judged based on her gender.",I think they can be great networking opportunities. They can also be spaces to talk about the challenges women face every day and how to best approach them based on other women's experiences,"I'd say the same as above. I want to note that being white, I don't have a strong opinion because I don't want to speak for POC and I don't share their experiences or struggles. I'd defer to a POC for their opinion first","Ridiculous. I think it's absurd to assume that women need their own competitions because that perpetuates the idea that they're incapable of holding their own in normal competitions. It brings up the idea of separate but equal, which we know isn't equal. If we're trying to push towards a more integrated and tolerant world, we need to encourage women to take part in existing competitions, show men that women are more than capable, and break down those barriers through shared experiences. The work place doesn't segregate by gender; not encouraging men and women to work together and compete together is doing both men and women a disservice.","The same answer as above. I think they may be seen as networking opportunities and there's nothing wronf with building a strong minioroty network for support.... BUT the idea that they would need their own competitions is inherently racist. It insinuates that race is directly tied to competencies and intelligence. Race may be correlated to socioeconomic status, but to in any way insinuate that it affects intelligence or capability is wildly offensive. All of that said, I am white so I'd again defer to a POC's opinion","Make an effort to include them crossfuntionally. If you're a male development team, work with a female designer. Try to hire a female dev. Better yet, help your female coworkers understand your job better and if they're interested, encourage them to apply. Question their decisions and not their ability to make them. Give them a chance to speak. Listen to what they say, without cutting them off or being dismissive. Etc. etc.",18 - 24,Customer advocate,No,Female,Bachelor's Degree,University of Texas
"Cohesive, diverse, and complimentary (balancing each other's strengths & weaknesses) group of 5-15 people. This team would be willing to overlook the issues with each other and really collaborate to hit the team's goals. A bit far stretched from reality but with discipline, communication, and balance, can be achieved.","Being able and allowed to lead, serve, and rise. As long as a female can be given equal platform rights in an organization, and the chance to lead, I feel a female is empowered. In society, female empowerment means being treated with equality and understood of capable of all things that men are (intellectually for the most part; the physical difference, no one can change).","Helpful to know that other women are in the same boat; however, I often think these groups are misunderstood to be support to the fact that women should super-cede men. The argument for female empowerment doesn't mean that (well, at least not to me). Female empowerment is a core value to make women feel more confident, boost self-esteem, and remove fear from becoming a leader; this is due to a female's past. Women are just now coming on the rise; hence, this concept is fairly new. The gender specific interest groups must not stray away from this concept but rather enhance it and move on. By moving on, I mean that women should teach other women HOW to become better leaders. Focus more on the hard work, technical skills, and building women rather than just stressing ""oh you're a woman, you can do it to..you just have to fight for it."" It's not a fight rather a journey. It takes time, hard work, and determination for a man or woman to lead. So let's not fight, but rather focus, work hard, and join hands.","Think these are helpful but let's face it. Being a U.S. citizen who moved over from India, I still believe it's a white man's world. No offense. I mean, are we going to have in Indian run this country ever? (even tho Google's CEO is Indian, and without Asians, this country would not survive medically), no. I respect the U.S. completely, no doubt. Thankful each and every day for the opportunities I'm provided. But these racial networks are not really useful for me. Indians don't help Indians out; at least i haven't experienced it. So, why is it that just because you're Latino or Black, you should get a free education (and take your sweet time and spend and extra year or 2 even though you have the potential to graduate in 4 years) while I'm in the same boat (not as financially blessed) and have to bust my butt. Think these can be biased at times and don't completely agree; however, whatever works for others as long as they do some good.","Disagree. On an intellectual level, men and women should be treated equally.",Disagree. All races should be given a chance intellectually.,"Women need to push themselves for others to empower them. If you don't work hard, why is anyone going to vouch for you. A woman needs to have the courage, discipline, and willpower to build herself professionally and show results such that others can even begin empowering them. So, it's not about the petitions, women's marches, protests, rallies; rather, it's about putting one's head and heart to their goals, working everyday towards them while serving others, and collaborating rather than contradicting.",18 - 24,,No,Female,Bachelor's Degree,University of Texas
"A team with diverse opinions but similar work ethics, where everyone is respectful and open-minded.","Female empowerment is the process of encouraging and inspiring confidence in women to take charge of their lives, both in personal and professional instances. It includes helping them see their potential in areas (leadership, quant jobs, being the breadwinner etc) that society might have considered ""masculine"".","I wish we didn't need them. I wish that women felt empowered and confident enough to not need gender specific groups, but as long as they are run with positivity in mind (not man hating), I am on board.","I have complicated feelings about these. Again, ideally, we wouldn't need these because everyone would be on a level playing field, but that's obviously not the case, so I understand that these groups can be useful in supporting and nurturing minorities in certain fields. However, often, these groups can also lead to self-segregation and myopic thinking (I speak from experience), which can be toxic and further divisive.","Do those exist?? I don't like that at all!! Gender/race specific interest groups usually help provide support, guidance and opportunities to help even the playing field. Gender specific academic/skill competitions suggest that men and women are not on an equally apt in academia (or whatever skill), and therefore cannot compete against one another, which goes against the entire purpose of feminism.","Again, see above. Completely ridiculous idea.","It has to start in the leadership. The UT MS Programs barely have any female professors; I understand that the supply is small, but I think the leadership needs to prioritise finding and incentivizing female professors.",18 - 24,Student,"Yes, Full-Time",Female,Graduate Degree,University of Virginia
"The ideal team is collaborative, yet conducive to the individual opinions of each member. To me, humility is what makes this. There are no big egos or concerns about status and no one is quick to disregard ideas. Instead, we are more inclined to engage in honest conflict and perhaps in that conflict attain some novel idea. An ideal team would also consist of people who are hungry. Not in the literal sense, but looking for more to learn, more responsibility, and more opportunity.","Female empowerment has always been a term thrown around me and many of my female colleagues. It would be untrue for me to say that I've never felt marginalized in what has traditionally been a very male dominated world (especially within my career). However, I was raised under the wing of an exceptionally strong-willed working class mother. At times I may have felt the world's surrounding inequalities, but I certainly never felt like they were barriers that I couldn't push through with plenty of determination, will and some grit.",I do support gender specific interest groups (as well as interest groups).There are certain obstacles that women face in the workforce that are unique to females. Having that support is critical!,"Going to such a diverse undergraduate college, the presence of race specific interest groups was almost ubiquitous. I've always had a love-hate relationship with these sorts of groups. It is understandable for people to feel intrinsically drawn to those who are of a similar race, but to create such divisive categories seems to oppose the inclusiveness that our generation needs now more than ever.","Creating these gender specific academic competitions, to me, marginalizes the capabilities of women. We should be competing as equals to our male counterparts. Gender should not predispose or predilect our intelligence.",Same thoughts as the above statement.,"Learning through example has always had the most profound impact on me. Not only through my mother, but the many women I've had the honor working with both in my undergraduate and professional career. Hiring a more diverse faculty (encompassing both race and gender) certainly helps.",25 - 34,Student Dentist,"Yes, Full-Time",Female,Bachelor's Degree,University of Texas
50/50 Male female,Beyoncé. Jokes aside female empowerment means women seeing themselves (and being perceived by others) as capable of achieving as much (if not more) than male counterparts in terms of intellectual pursuits.,Positive. I think gender/race based support groups are necessary to help make society more equal and make up for the inherent biases that exist towards minority groups.,See previous response.,I think these programs are fine so long as they are prepared to see gender as a spectrum. If someone earnestly identifies as a woman despite a lack of female genetalia then they should not be barred from participating.,"I would prefer that all races are allowed to participate. If i make this event whites only it sounds racist. However, i can understand that this sort of event might be necessary to empower minorities.",Specialty career counselors for women. Regular presentations to all staff from successful women (Celebrities),18 - 24,Tax Associate,No,Male,Bachelor's Degree,University of Texas
"not gender, age or race specific - mostly passionate, hardworking, friendly people. i dont think there's a perfect formula for a successful team but i think the above qualities are cornerstones of good teamwork","not feeling weakened due to your gender but rather, feeling emboldened by it. i'm feeling mixed on whether female empowerment should mean gender blind treatment or rather advancement despite your gender, but it's probably more the latter.",great resource for women especially when employed/surrounded in male-dominated areas in terms of mentorship and opportunity exposure,Same as above,"as long as there are equivalent opportunities for the other genders or a competition that is inclusive for all, then i think they can be empowering if executed well (otherwise, one might question the impact of specifically isolating a gender in a skillset as if to say they are inherently disadvantaged in that skillset)",similar to above,equal paternity and maternity leave,18 - 24,Management Consulting Senior Analyst,No,Female,Bachelor's Degree,Rice University
"Competent, experienced, hardworking people with the skills necessary to complete the project","buzzword, entirely person-dependent",Good networking opportunity for women,Good networking opportunity for various groups,"No opinion, never seen one IRL","No opinion, never seen one IRL",No idea,25 - 34,Data Scientist,No,Male,Graduate Degree,University of Texas
"Passionate about what they do, uncompromising about and respectful to each other","Making it clear that all women SHOULD feel like they have the right to all the options, choices and opportunities as everybody else",their a great way to make connections and let people express themselves with peers and people of similar backgrounds or interests,their a great way to make connections and let people express themselves with peers and people of similar backgrounds or heritage,"anybody should have the option to have activities tailored to specific groups, but I feel diversity can be compromised","anybody should have the option to have activities tailored to specific groups, but I feel diversity can be compromised",they already do very specific women focused events. I would appreciate more background based ones tailored to Hispanics or Latinos,25 - 34,Design Lead,No,Male,Graduate Degree,Puerto Rico and NYC
"Diverse, both men and female, from different backgrounds with different strengths that complement eachother.",Choice and knowing your right to ask for the same things men have,"I think it's a good way to find support because you connect with people and they spread awareness, but they aren't powerful enough to serve as a direct solution","I think they are good to find a gateway starting point for support in similar interests, but it keeps people a little too comfortable in their bubble.",nah,no i really don't like that,,18 - 24,Consultant,No,Female,Bachelor's Degree,University of Texas
"My ideal team is fun, sporadic, driven, tenacious and comprised of people who have diverse backgrounds. This is a team of people who do what they have to to accomplish what they want!","I have a lot of opinions on female empowerment. First of all, FUCK YEAH - women everywhere all the time should feel as if they have room to be listened to and that the words they say matter and are actionable. Most importantly, female empowerment is to the benefit of all people.","I have been to a women who code hackathon, and other women-related design and business groups. The thing that I enjoyed about them was that it wasn't a space where I felt like I had to be ""on"". I'm a middle of the road person, to whatever faults that that may hold. I like them, generally, but they do always have the inherent pitfalls of any group of people (vocal minority, harassment, rudeness, etc), but I think it's important to have spaces again for people to see - YES, there are people like you who like to do the activities you do AND (AND!) they LOOK like you. They EXIST and you are not, and will never be, alone.","I think I have the same sentiment as the previous question. Spaces where people who are not typically celebrated, should exist. Exhalted? Maybe not. But they (race-specific interested groups) should exist, they should be given room to exist, and they should be invited to be involved in the greater community.",Same as above.,"Man. I think about this a lot. Is it about race? Is it about socio-economic status? What divides what and whom is the most maliciously affected? But generally, I think my sentiment is the same as two questions ago.","Small voices, big thoughts. I wish there was a better way to impact things. I wish I wasn't afraid to do so, like I'd be a target of something. I am involved in a female-driven volunteer organization in my business who are trying to put programs in place to invite folks out to service their immediate community. A way this could be better served in the workplace is through a better way to spread the news.",25 - 34,Software Product Designer (UX/Research),No,Female,Bachelor's Degree,University of Texas
"My ideal team is comprised of the highest degree of thought diversity. This comes from diversity of race, gender, socioeconomic, and even educational background. Of course, to get the most out of these differing perspectives, all members should be well-versed in the topic at hand and in conflict resolution, as strong opposition may arise.",Female empowerment means creating a safe space for women to fully exercise their creativity and intellect and to be rewarded fairly for their efforts and contributions to society/their company/their community/etc.,"For me, there is a fine line that cannot be crossed. Where women have traditionally suffered from a lack of representation or lack of access to resources, I firmly agree that female-specific task forces are needed to break barriers. However, I also firmly believe that these opportunities should focus on equality, and sometimes segregating activities into ""female-only"" may not yield the same growth as a co-gender event. I think it is just as important for males to learn about the challenges females face every day and both parties should learn how to work together to achieve gender equality and equal opportunity.","Similar to the previous question. I believe it is important for each race to have a safe space and resources to gather and spearhead programs intended to achieve equality, but that there should be some element of cross-racial cooperation so that there is an element of knowledge exchange.","While I agree that gender specific competitions are sometimes necessary to initially break preexisting barriers and provide gender-specific education needed to achieve parity, I think that the ultimate gender equality comes when both genders are equally equipped and can compete as equals with a fair playing field.",Similar to above.,"I think my workplace could put more resources into making the working environment the same comfort level for women as it is for men, so that there are fewer distractions to the ultimate business goals. ie. sick days for women with terrible cramps, or other female-specific ailments that are typically taboo and unaddressed",18 - 24,Consultant,No,Female,Bachelor's Degree,University of Texas
"Mixed gender, respectful of each other's views, working toward common goal",Equality,Shouldn't be differences in gender roles in workplace but there are and these groups help further equality,Helpful to bridge equality gap but wish we didn't need them,That's fine. Women often can't beat men in mixed gender competitions even when they should,Shouldn't exist,Common thought that you have to pick family or career but shouldn't have to be a choice,25 - 34,IT Auditor,No,Female,Graduate Degree,University of Texas
,"Equal opportunity in education, employment opportunities, & recognition","No opinion as long as members of a different gender are still allowed to participate in the group (e.g., men who support women in business should be permitted to join that group)",No opinion as long as members of a different race are still allowed to participate in the group,"Disagree heavily - skill sets are not determined by gender, sex, or orientation",Disagree heavily - skill sets are not determined by race,"Unsure - I work outside of HR and women appear equally as represented as men. However, my industry may not be representative of the general population.",25 - 34,Financial Analyst,No,Male,Bachelor's Degree,University of Texas
"My ideal team would be to have a leader who is unbiased, have a wonderful atmosphere where all teammates get along. My leader should be like my mentor and a person I trust who has my back when we are fighting our battles. I like having a team that supports, critiques, and pushes each other. I want the team I work for to kind of feel like a little family.","Female empowerment means supporting women in every subject and bringing awareness to the inequalities that exist in our world that are considered the norm in different societies, but shouldn't be.","I love that we have empowerment groups, but at the same time it seems kind of contradictory to be grouping together. We should also make it a norm outside of a woman group.","I find it empowering because I am Asian. It seems that Asian people don't see anything other than a doctor, lawyer, or engineer as successful. I want to change that preconceived idea for others to follow who may feel crushed by the pressure of their parents to do something only for money. Where I am from, there weren't many Asians in design. Now that I am out of Kansas, I see that there is a growing population majoring in design and that makes me proud.",I don't care much for it. I don't partake in it.,I don't care much for it. I don't partake in it.,"Have qualified women in higher positions or leading positions. Make sure empowering women is not just done by women, but also men.",18 - 24,Software Product Designer,No,Female,Bachelor's Degree,University of Kansas
Smart. Hard-working. Good communication. Bonus points if I like the people.,Women having the same opportunities as everyone else and making everyone more empathetic to their issues despite not really being able to relate.,"I don't have one? I don't particularly want or not want them to exist. I know coding is male dominated though, so if those organizations help them, cool. I don't really think about it.","I never joined one, nor would I be interested in joining one. I don't have positive or negative feelings about them. I do think there aren't many Asian groups comparatively though, and I find that interesting.","I've never heard of that. I think if the goal is fostering an interest in those activities, than cool, but if you wanna be the best, you gotta beat the best, and not letting everyone compete diminishes any victory.","I've never heard of that, and essentially the same answer as above.","I don't know. I don't think about that. I am aware that I don't know about and can't really relate to a lot of women's issues, so I just defer to women to make those suggestions. If I'm in a position to help, sure I'll do what I can, but otherwise I really wouldn't know.",18 - 24,Student,"Yes, Full-Time",Male,Bachelor's Degree,UCLA and UT
diverse people from different backgrounds bringing different insights to the table,"being able to express opinions freely, not being judged for doing things outside of what's considered female ""norm"" behavior",i think it helps women get representation in otherwise male dominated fields,"i think it gives a platform for underrepresented groups to feel ""belonged""","i think it's overrated -- groups are a different thing, but competing and exclusion are overboard","again, it might be a little overboard. dont' really support exclusions",i think my school does a pretty good job -- things are changing and i don't see the need to do anything more,18 - 24,Student,"Yes, Full-Time",Female,Graduate Degree,University of Texas
"My ideal team would consist of individuals who have the following qualities: high degree of motivation, proactivity and ability to structure their own work streams, varying perspectives to ensure all angles considered, high EQ and ability to enjoy/have fun working together","To me, female empowerment doesn't mean doing anything to externally add to a woman's opportunities or feelings of self belief. Rather, I view it as the removal of barriers, stereotypes, and narratives that make women feel that they have less of a ""fair chance"" than men do. It is treating everyone equal regardless of sex or gender identity, both in actual and perceived treatment.","I am in favor of these groups in areas where women are still underrepresented. Although I am a white male and my perspective may be limited, these groups may serve to give women a stronger network within the larger organization in which they are a part and give women the opportunity to find mentors and colleagues who they can relate to and build relationships with.","Same as above, I think the aspect of bringing people together is good, especially when it may be harder for people to have access to one another within the larger organization.","I am slightly not in favor of these types of events, to the extent that it may reinforce narratives that different genders are competing at different levels.","I am slightly not in favor of these types of events, to the extent that it may reinforce narratives that different races are competing at different levels.","My workplace could improve in empowering women at the management level, where a lot of women make tradeoffs between career and personal life. Continuing to have more lenient leave of absence, maternity leave, and local staffing options (consulting firm) would help more women leaders stay at BCG and help more women rise to senior leadership.",18 - 24,Associate,No,Male,Bachelor's Degree,University of Texas
"Diverse, open, and action-oriented",Equity,They provide a safe space and an opportunity to try new things or to grow interest. Great when in a non-majority non-position of power.,A safe space to allow non majority people the opportunity not traditionally open to or accessed by non-majority people.,"I think it is good if trying to grow interest in the area and build confidence to encourage them to try. There have long been male specific organizations and activities and still to this day. Must be done carefully and in a way that empowers. Can be done badly though, so be careful.","For non-majority groups that you are trying to increase access for said groups, I think it is important. Not for those creating them to exclude or prevent access.",Create a Female Advisory Board,35 - 44,Administrator,No,Male,Bachelor's Degree,University of Texas
Inclusive.,Helping women overcome gender-based boundaries and working to eliminate those boundaries entirely.,"I think that they are essential. Until women are truly equal, there has to be support, and oftentimes these interest groups get support from senior management. The only wish I would relay to the women's interest group at my workplace would be to take more risks. Talking about work-life balance is fine, but why not tackle the harder topics like harassment?",Same opinion. I think these interest groups can make a huge impact on a workplace. I've also found the race-specific groups at my workplace to take more risks on the more difficult topics.,My only concern would be that females would not have the chance to prove that they are at a level equal to or above men.,"Merp. Not a fan. I am a fan of hosting an inter-city kids at a hackathon, and maybe the demographics would look a certain way. But the idea of limiting it doesn't sit well with me.","I work for the Government, which surprisingly does a good job with empowering women. The only suggestion I would have is to ensure a way to constantly garner feedback from the workforce in case inequality appeared.",18 - 24,Contract Specialist,No,Female,Bachelor's Degree,"Atlanta, Georgia (Georgia Tech)"
"Collection of individuals who each possess unique and different strengths and perspectives, and are strong communicators and empathizers","Ensuring that women have equal opportunity, benefits, and support as male counter parts",Necessary for achieving equality and beneficial for personal support,Necessary for achieving equality and beneficial for personal support,"Great as a means to achieve the attention and support necessary to gain balance in equality, but futile if there is not also a mixed-gender competition that coexists. Whichever group is at a disadvantage needs the ability to compete with other groups as a means to understand and correct the gap.",Same as above.,"Promote women-specific groups, provide easy access to extended education and anything else needed to break the ceiling, give autonomy and ability to make decisions",25 - 34,Growth Manager,No,Male,Bachelor's Degree,University of Texas
"I think an ideal team is where each team member is self-aware of their actions and words to a point where the team trusts each other enough to be openly vulnerable. An ideal team member recognizes what their strengths are and uses that to elevate other team members. At the same time, an ideal team member also recognizes what their weaknesses are and is not afraid to ask for help— which is an opportunity to learn from another team member.","To end the oppression and marginalization of one's actions, beliefs, appearances, and emotions by others and systems in society because of their gender.",That they are needed.,That they are needed.,That they are not needed.,That they are not needed.,"Money, facilitating discussions, hiring women",25 - 34,"UX Designer, Researcher",No,Female,Graduate Degree,"USC, Art Center College of Design"
"Collaborative, kind, honest, open-minded, respectful, and direct communication","Supporting other women in many different scenarios whether it be at work, in friendship, family, social outings, etc. Making sure other women feel like their voices are heard and their opinions matter. Above all else, being empathetic to one another and cognizant of varying circumstances.","I think they are important to make sure members of them feel like they have a safe space to voice their ideas. I also think they serve as a great platform to accomplish different agendas, but also believe their are situations where having a co-gender discussion and interest group is important. In education specifically, I think there is a real benefit in having gender specific classes up until a certain age. Then I think it is beneficial to incorporate male/female perspectives for a more true depiction of real world scenarios.","Same as above -- important for groups of people to have a safe space and voice their opinions honestly, but also think mixed race and background interest groups can be very important and beneficial.","I think they are great when done in solidarity like hack-a-thons with women or young girls or STEM and STEAM events and competitions for females promoting awareness around a certain topic or subject area where they should be more women. I don't believe they are good outside of that, at least I cannot think of an example where they would be off the top of my head. The more chances males and females are able to compete against one another, the more opportunity women have to to prove themselves.","Similar as other answers -- I would say they are good when creating a safe space or promoting awareness around jobs or subject areas where there is a lack in people of color and there should be more people from a particular race or socioeconomic background (i.e. STEM, STEAM careers) but think there is a real benefit as well in co-mingling and competing against one another and attending events as unified people and not divided.",I guess being more apart of closed door conversations but those are slowly beginning to happen... but all in all just feeling more included in higher level decision making and outside of our small team having my voice heard more by others within the larger company.,25 - 34,Festival Program Manager,No,Female,Graduate Degree,University of Texas
"capable in skill, diverse in thinking, flexible in collaboration","enabling females to be strong in their ability, ambition, and reach.","not a woman, but generally supportive as necessary to open up male dominated fields","I'm technically a person of color, but as an asian american (considered ""overrepresented"" in many high paying technical jobs) it is interesting to consider an Asian American interest group, (might be problems with perceptions of dominance?) though I see the need for underrepresented groups especially to have support networks.",havn't developed a strong opinion,don't have a strong opinion on it - some thoughts about the right of groups to self organize vs. opportunity hoarding,host more events,18 - 24,User Researcher,No,Male,Bachelor's Degree,RISD
Diversity in thought. The best teams I've been on have a common goal but different ways of getting there. It creates a thorough and thoughtful process that leads way to creativity and innovation,"It means respect, appreciation, and support for the contributions of a woman - whether that means professionally or in personal life.",I think they're great if they're for the purpose of honoring women/ignored genders and giving them the chance to prove they can be just as exceptional as anyone else. They're right for a platform that may have historically ignored specific genders to show they are just as powerful and capable.,"Again, I believe that historically ignored groups deserve a platform to be recognized.",They should be kept to the same standards as all groups.,"These become tricky but can be done tastefully. Again, I believe these situations are best when used to promote a previously ignored group.",I believe my work does a fantastic job at this. We have groups within the organization for all minorities that are promoted and constantly recognized. I am currently on a management team comprised of all women and it's certainly something we celebrate.,18 - 24,Unit manager,No,Female,Bachelor's Degree,University of Texas
"A diverse (gender, race, background, and job role) group of equal people with no hierarchy of roles who all respect ant trust one another for the job they do, rather than second-guessing each other's work.","The status of and actions towards allowing women to be themselves and fulfill their responsibilities and dreams without being questioned, held back, or stopped because of their gender.","To be honest, I go back and forth. I would love to live in a world where these groups weren't necessary, where organizations and contests could just be trusted to be impartial and fair, but I don't think that's the society we live in. I also think there's a degree of comfort and approachability with these organizations that lets women know that they are welcome and valued. No one had to feel anxious or hesitant about participating.","Same as above, but I will add another note (can apply to the previous question too). These groups say ""we are here,"" ""we will be taken seriously,"" and ""we exist in this industry."" Could give these groups of people a sense of community and belonging if they had felt left out in their profession.","I think I mentioned this above, but I would love to live in a world where these weren't necessary. I also think that some of these competitions become easier to write off because of gender bias—""oh, well if she had competed in the larger competition..."" 

However, I think that these do also decrease the anxiety-barrier-to-entry, and also have a sense of community that is equal to if not more than the sense of competition.","Even more so than gender-specific, I think these competitions give an extra measure of opportunity and community. Someone wins, yes, but we all benefit.","Clearer tracks for promotions, raises, mentorship, and leadership opportunities. Also, education for all employees on gender, harassment, and subtle sexism in the workplace.",25 - 34,User Experience Designer,No,Female,Bachelor's Degree,North Carolina State University
"My ideal team would consist of an even gender distribution of young individuals. I would want everyone to have consistent values, disagree respectfully with one another, and not take themselves too seriously.","It means that women should not noticeable feel different or like an outsider or uncomfortable in their own skin around a male dominated group. To me, female empowerment is instilling confidence in women and educating men on the importance of gender equality. It's consciously fighting the unconscious gender biases.","I am in favor because while some say these groups may be self-isolating, I think sometimes, we need similar individuals to feel most comfortable and lean on for support. At the same time, I think it's important for these groups to have events that bring in the opposite gender. Female empowerment is something that men are equally responsible for.","Like gender specific interest groups, I think these groups are necessary. However, in an ideal situation these groups would place an emphasis on collaborating with race-neutral groups of the same interests.","Not a fan. I don't like the idea of ""doing well, for a woman (or any race/gender/diverse faction).""","I don't think this helps at all when it comes to bringing equality. By having race specific competitions, I feel as though an individual's success is belittled. Success should be success regardless of race, and adding in that factor takes the focus away from the true purpose of the competition.","We need to bring men into the conversation. It's something that's talked about so often and is so important, and yet we don't do it. Our gender group at work does events like wine happy hours and personal styling. And while I agree that those are fun events that most women enjoy, they tend to just bring women together in a social setting without serving a higher purpose. I feel like we don't actually discuss the tough issues, and we rarely include the men of my workplace in these discussions.",18 - 24,Consultant,No,Female,Bachelor's Degree,University of Texas
"My ideal team is one that is honest, comfortable, and supportive with each other.","It means being proud to be a woman and fighting to break against social/biological stigmas. It means fighting to be assertive and not ""bitchy"" or ""bossy,"" raising girls without being bound by expectations of being domestic, and breaking down misogynistic cultural norms around the world. It means equalizing (not shaming) men with women.","I think they're necessary still at where we are in terms of cultural gender norms. As long as sexual harassment and bro culture exists, I think these groups encourage women to stand up for themselves.","I think it's similar to gender specific groups. Such as there are gender norm conflicts and sexism, there is racism, socioeconomic disparities, etc. As with any group, it's always a bit dangerous as I think people sometimes get caught up with being in something bigger than themselves and start using the movement to be violent, start hating other groups, etc.",I strongly dislike them. They realistically should be based on parental income or school district to more realistically equalize the competitive environments.,"I think it's kinda weird. I don't think anything should be race specific unless it has to do with the cultural heritage (and even then it should be open). I get that there are groups because of different psychological and cultural reasons e.g. it's easier to identify with someone who looks like you, etc. But in a competition, race should not be exclusive.",Stop with the bro culture!! But that's harder said than done (especially when it seems like the President is a huge proponent).,18 - 24,Business Analsyt,No,Female,Bachelor's Degree,The University of Texas at Austin
