Id,MainBranch,Hobbyist,Age,Age1stCode,CompFreq,CompTotal,ConvertedComp,Country,CurrencyDesc,CurrencySymbol,DatabaseDesireNextYear,DatabaseWorkedWith,DevType,EdLevel,Employment,Ethnicity,Gender,JobFactors,JobSat,JobSeek,LanguageDesireNextYear,LanguageWorkedWith,MiscTechDesireNextYear,MiscTechWorkedWith,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith,NEWDevOps,NEWDevOpsImpt,NEWEdImpt,NEWJobHunt,NEWJobHuntResearch,NEWLearn,NEWOffTopic,NEWOnboardGood,NEWOtherComms,NEWOvertime,NEWPurchaseResearch,NEWPurpleLink,NEWSOSites,NEWStuck,OpSys,OrgSize,PlatformDesireNextYear,PlatformWorkedWith,PurchaseWhat,Sexuality,SOAccount,SOComm,SOPartFreq,SOVisitFreq,SurveyEase,SurveyLength,Trans,UndergradMajor,WebframeDesireNextYear,WebframeWorkedWith,WelcomeChange,WorkWeekHrs,YearsCode,YearsCodePro
83,I am a developer by profession,Yes,20,17,Monthly,1000,3036,Poland,Polish zloty,PLN,MongoDB;PostgreSQL,PostgreSQL;SQLite,"Developer, back-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed full-time,White or of European descent,Man,Flex time or a flexible schedule;Office environment or company culture;Opportunities for professional development,Very satisfied,"Iü??m not actively looking, but I am open to new opportunities",C;JavaScript;Python;Ruby;Scala;TypeScript,C;C++;HTML/CSS;Python,Hadoop;TensorFlow,NA,Github;Slack,Github;Gitlab;Slack;Trello,Yes,Extremely important,Not at all important/not necessary,Just because;Curious about other opportunities;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos",Every few months,Not sure,Onboarding? What onboarding?,No,Rarely: 1-2 days per year or less,NA,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Linux-based,20 to 99 employees,Docker;Kubernetes;Linux,Linux,I have little or no influence,Straight / Heterosexual,Yes,"Yes, definitely",Less than once per month or monthly,Multiple times per day,Easy,Appropriate in length,No,NA,Django;Gatsby,Django,Somewhat more welcome now than last year,40,2,Less than 1 year
84,I am a developer by profession,Yes,25,12,Monthly,NA,NA,United States,United States dollar,USD,NA,Oracle;PostgreSQL,"Developer, back-end;Developer, front-end;Developer, full-stack","Bachelorü??s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,Flex time or a flexible schedule;Specific department or team Iü??d be working on;Remote work options,Slightly satisfied,"Iü??m not actively looking, but I am open to new opportunities",NA,Bash/Shell/PowerShell;C;C#;C++;HTML/CSS;Java;Python,NA,.NET;.NET Core,NA,"Github;Slack;Microsoft Teams;Google Suite (Docs, Meet, etc)",No,Neutral,Somewhat important,Curious about other opportunities;Better compensation;Better work/life balance,Directly asking current or past employees at the company,Once a year,Not sure,No,No,Often: 1-2 days per week or more,Start a free trial,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Do other work and come back later,Windows,2 to 9 employees,NA,Android;Arduino;Linux;Raspberry Pi;Windows,I have some influence,Straight / Heterosexual,Yes,"No, not really",Less than once per month or monthly,Daily or almost daily,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",NA,jQuery,Just as welcome now as I felt last year,60,13,2
85,I am a developer by profession,Yes,21,15,Weekly,NA,NA,United States,United States dollar,USD,MariaDB,MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;SQLite,"Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack",Some college/university study without earning a degree,Employed part-time,White or of European descent,Woman,Flex time or a flexible schedule;Remote work options;Office environment or company culture,Very satisfied,"Iü??m not actively looking, but I am open to new opportunities",JavaScript;Swift,Bash/Shell/PowerShell;C#;Go;HTML/CSS;Java;JavaScript;PHP;Python;SQL;Swift,Node.js,.NET;.NET Core;Cordova;Node.js;React Native;Unity 3D;Unreal Engine,NA,"Jira;Github;Slack;Microsoft Teams;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc)",Not sure,Neutral,Very important,Curious about other opportunities;Better compensation;Wanting to work with new technologies;Growth or leadership opportunities,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Directly asking current or past employees at the company",Once a year,Not sure,Yes,No,Never,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,Windows,NA,Android;iOS;Raspberry Pi,Docker;iOS;Linux;MacOS;Raspberry Pi;Windows,I have some influence,Bisexual,Yes,Neutral,I have never participated in Q&A on Stack Overflow,A few times per week,Easy,Appropriate in length,No,Web development or web design,Angular;Angular.js;Django;Flask;jQuery;React.js,ASP.NET;ASP.NET Core;jQuery;React.js,Just as welcome now as I felt last year,24,6,1
86,I am a developer by profession,Yes,26,10,Weekly,2000,108100,France,European Euro,EUR,MongoDB;PostgreSQL,Firebase;MongoDB;PostgreSQL,"Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile;Senior executive/VP","Bachelorü??s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",White or of European descent,Man,Flex time or a flexible schedule;Remote work options;Office environment or company culture,Very dissatisfied,I am actively looking for a job,Go;HTML/CSS;JavaScript;R,Go;HTML/CSS;JavaScript;Python,NA,Node.js;React Native,Github;Gitlab,Github;Gitlab,Not sure,Somewhat important,Not at all important/not necessary,Having a bad day (or week or month) at work;Curious about other opportunities;Better compensation;Trouble with my direct manager;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies,"Read company media, such as employee blogs or company culture videos",Every few months,Not sure,Onboarding? What onboarding?,No,Often: 1-2 days per week or more,Start a free trial,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow,MacOS,"Just me - I am a freelancer, sole proprietor, etc.",AWS;Docker;Google Cloud Platform;Kubernetes;Linux;MacOS,AWS;Docker;Google Cloud Platform;Linux;MacOS;Raspberry Pi,NA,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per week,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",React.js;Vue.js,React.js,A lot more welcome now than last year,60,5,3
87,I am a developer by profession,Yes,22,17,NA,NA,NA,Mexico,Mexican peso,MXN,DynamoDB;MongoDB;MySQL;Redis,Microsoft SQL Server;MySQL,"Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices","Bachelorü??s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Hispanic or Latino/a/x,Man,"Languages, frameworks, and other technologies Iü??d be working with;Specific department or team Iü??d be working on;Office environment or company culture",Very dissatisfied,I am not interested in new job opportunities,Go;Python;Rust,C#;C++;JavaScript;Python,.NET Core;Hadoop;TensorFlow,.NET;TensorFlow,Confluence;Jira;Github;Gitlab,Github;Gitlab,Yes,Extremely important,Very important,Just because;Better compensation;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family",Every few months,No,Yes,Yes,Occasionally: 1-2 days per quarter but less than monthly,NA,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,Windows,20 to 99 employees,Arduino;Docker;Heroku;Kubernetes;Linux;Raspberry Pi,Linux;Windows,I have little or no influence,Straight / Heterosexual,No,"No, not really",NA,Multiple times per day,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",NA,NA,Just as welcome now as I felt last year,40,5,2
88,I am a student who is learning to code,No,21,14,NA,NA,NA,Canada,NA,NA,NA,NA,NA,Some college/university study without earning a degree,Student,East Asian,Woman,"Languages, frameworks, and other technologies Iü??d be working with;Office environment or company culture;Opportunities for professional development",NA,I am actively looking for a job,Go;Python;Scala;SQL,Bash/Shell/PowerShell;C++;Kotlin;Python,Ansible;Chef,Chef,"Confluence;Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)","Confluence;Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",NA,NA,NA,NA,NA,Once a year,Not sure,NA,No,NA,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,MacOS,NA,Docker;Google Cloud Platform;Kubernetes,Android;Docker;MacOS;Windows,NA,Bisexual;Queer,Yes,"Yes, somewhat",I have never participated in Q&A on Stack Overflow,A few times per month or weekly,Easy,Too short,No,"Computer science, computer engineering, or software engineering",NA,NA,Just as welcome now as I felt last year,NA,7,NA
89,I am a developer by profession,Yes,28,12,Yearly,130000,130000,United States,United States dollar,USD,PostgreSQL;Redis,Elasticsearch;Microsoft SQL Server;MongoDB;Redis,"Developer, front-end;Developer, full-stack","Bachelorü??s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Woman,"Industry that Iü??d be working in;Flex time or a flexible schedule;Languages, frameworks, and other technologies Iü??d be working with",Very satisfied,I am not interested in new job opportunities,Go;HTML/CSS;JavaScript;Ruby,C#;HTML/CSS;JavaScript;SQL;TypeScript,Node.js;React Native;Teraform,.NET;.NET Core;Node.js,"Confluence;Github;Slack;Google Suite (Docs, Meet, etc)","Confluence;Jira;Github;Slack;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Not at all important/not necessary,Having a bad day (or week or month) at work;Curious about other opportunities;Better compensation;Trouble with my direct manager;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once a year,Not sure,Yes,No,Occasionally: 1-2 days per quarter but less than monthly,NA,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,MacOS,500 to 999 employees,Docker;Slack Apps and Integrations,Docker;Microsoft Azure;Windows;WordPress,I have little or no influence,Straight / Heterosexual,No,"No, not at all",NA,A few times per week,Easy,Appropriate in length,No,"A humanities discipline (such as literature, history, philosophy, etc.)",Express;Gatsby;React.js;Ruby on Rails,Angular;Angular.js;ASP.NET;ASP.NET Core;Express;jQuery;React.js;Vue.js,Just as welcome now as I felt last year,45,6,2
90,I am a developer by profession,Yes,28,25,Monthly,7.00E+07,61476,Indonesia,Indonesian rupiah,IDR,PostgreSQL,PostgreSQL,Designer,Some college/university study without earning a degree,Employed full-time,NA,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies Iü??d be working with;Remote work options",Very satisfied,I am not interested in new job opportunities,HTML/CSS;JavaScript;Ruby;TypeScript,HTML/CSS;JavaScript;Ruby;TypeScript,NA,NA,NA,NA,Yes,Extremely important,Not at all important/not necessary,NA,NA,Every few months,No,Yes,No,Often: 1-2 days per week or more,Start a free trial,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Do other work and come back later,Linux-based,20 to 99 employees,Android;iOS;Linux;MacOS;Windows,Android;iOS;Linux;MacOS;Windows,I have some influence,Straight / Heterosexual,Yes,"Yes, definitely",Multiple times per day,Multiple times per day,Easy,Too long,No,"A health science (such as nursing, pharmacy, radiology, etc.)",Ruby on Rails,jQuery;Ruby on Rails,Not applicable - I did not use Stack Overflow last year,60,3,2
91,I am a developer by profession,Yes,31,11,Yearly,53000,57292,France,European Euro,EUR,Cassandra;Elasticsearch;MariaDB;MongoDB;MySQL,Cassandra;Elasticsearch;MariaDB;MongoDB;MySQL,"Developer, back-end;Developer, full-stack;DevOps specialist;System administrator","Bachelorü??s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Multiracial,Man,Industry that Iü??d be working in;How widely used or impactful my work output would be;Opportunities for professional development,Neither satisfied nor dissatisfied,I am actively looking for a job,Bash/Shell/PowerShell;Go;PHP;SQL,Bash/Shell/PowerShell;C;Java;JavaScript;PHP;SQL,Ansible;Apache Spark;Node.js;Teraform,Ansible;Apache Spark;Node.js;Teraform,"Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)","Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",No,Extremely important,Fairly important,Wanting to share accomplishments with a wider network;Curious about other opportunities;Better compensation;Wanting to work with new technologies;Growth or leadership opportunities,NA,Once a year,No,No,Yes,Often: 1-2 days per week or more,NA,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,Linux-based,20 to 99 employees,AWS;Docker;Kubernetes;Linux;Raspberry Pi;Slack Apps and Integrations,AWS;Docker;Linux;Raspberry Pi;Slack Apps and Integrations,I have little or no influence,Straight / Heterosexual,Yes,Neutral,Less than once per month or monthly,Daily or almost daily,Neither easy nor difficult,Too long,NA,"Computer science, computer engineering, or software engineering",Express;Spring;Symfony,Express;Spring;Symfony,A lot more welcome now than last year,30,19,10
92,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,42,12,Yearly,20000,21620,Greece,European Euro,EUR,MariaDB;MySQL;SQLite,MariaDB;MySQL;SQLite,"Academic researcher;Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, game or graphics;Developer, mobile;Educator;Scientist;System administrator","Other doctoral degree (Ph.D., Ed.D., etc.)",Employed full-time,White or of European descent,Man,"Languages, frameworks, and other technologies Iü??d be working with;Remote work options",Slightly satisfied,"Iü??m not actively looking, but I am open to new opportunities",Assembly;Bash/Shell/PowerShell;C++;HTML/CSS;Java;JavaScript;Objective-C;PHP;SQL,Assembly;Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;Objective-C;Perl;PHP;SQL,Node.js;Unity 3D,Node.js;Unity 3D,"Github;Google Suite (Docs, Meet, etc)","Github;Gitlab;Google Suite (Docs, Meet, etc)",No,Somewhat important,Not at all important/not necessary,Better work/life balance,Personal network - friends or family;Directly asking current or past employees at the company,NA,Yes,Yes,Yes,Sometimes: 1-2 days per month but less than weekly,Ask developers I know/work with;Visit developer communities like Stack Overflow,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Watch help / tutorial videos,Windows,20 to 99 employees,Arduino;iOS;Linux;Windows,Arduino;iOS;Linux;Windows,I have a great deal of influence,Straight / Heterosexual,Yes,"Yes, definitely",A few times per week,Daily or almost daily,Easy,Too long,No,NA,jQuery,Drupal;jQuery,Just as welcome now as I felt last year,25,24,15
93,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,21,12,Yearly,50000,37816,Canada,Canadian dollar,CAD,Elasticsearch;MySQL;PostgreSQL;Redis;SQLite,Elasticsearch;MySQL;PostgreSQL;SQLite,NA,Some college/university study without earning a degree,Employed full-time,White or of European descent,Man,NA,Very satisfied,I am not interested in new job opportunities,Assembly;Bash/Shell/PowerShell;C;Python;Ruby;SQL,Bash/Shell/PowerShell;C;Python;Ruby;SQL,Ansible;Hadoop;Teraform,Ansible;Teraform,"Github;Slack;Google Suite (Docs, Meet, etc)","Github;Slack;Trello;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Not at all important/not necessary,NA,NA,Once every few years,Yes,Yes,Yes,Rarely: 1-2 days per year or less,NA,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Do other work and come back later,Linux-based,20 to 99 employees,AWS;Docker;Kubernetes;Linux;Raspberry Pi,AWS;Docker;Linux;Raspberry Pi;Slack Apps and Integrations,I have some influence,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,Daily or almost daily,Easy,Too long,No,"A social science (such as anthropology, psychology, political science, etc.)",NA,Flask,NA,40,9,2
94,I am a developer by profession,Yes,NA,12,Yearly,95000,71850,Canada,Canadian dollar,CAD,DynamoDB;MongoDB;Oracle,MongoDB;Oracle,"Developer, full-stack",Some college/university study without earning a degree,Employed full-time,White or of European descent,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies Iü??d be working with;Remote work options",Very satisfied,I am not interested in new job opportunities,HTML/CSS;JavaScript,HTML/CSS;JavaScript;PHP;Python;SQL,Node.js;React Native;Unity 3D,Node.js;Unity 3D,NA,NA,Not sure,Neutral,Not at all important/not necessary,Better compensation;Wanting to work with new technologies,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Read other media like news articles, founder profiles, etc. about the company",Every few months,Not sure,Yes,No,Occasionally: 1-2 days per quarter but less than monthly,NA,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Play games;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,Windows,"10,000 or more employees",AWS,AWS,I have little or no influence,Straight / Heterosexual,No,"No, not really",NA,A few times per month or weekly,Neither easy nor difficult,Too long,No,"Computer science, computer engineering, or software engineering",Express;React.js,Express;Gatsby;React.js,Just as welcome now as I felt last year,40,40,25
95,I am a developer by profession,Yes,29,21,Monthly,10000,35028,Israel,Israeli new shekel,ILS,MongoDB;Redis,MongoDB;Redis,"Designer;Developer, back-end;Developer, front-end;Developer, full-stack;Educator","Bachelorü??s degree (B.A., B.S., B.Eng., etc.)",Employed part-time,White or of European descent,Man,"Languages, frameworks, and other technologies Iü??d be working with;Specific department or team Iü??d be working on;How widely used or impactful my work output would be",Very dissatisfied,I am not interested in new job opportunities,Bash/Shell/PowerShell;HTML/CSS;JavaScript,Bash/Shell/PowerShell;HTML/CSS;JavaScript,Node.js,Node.js,Github;Slack,Github;Slack,Yes,Extremely important,Fairly important,Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Every few months,No,No,No,Often: 1-2 days per week or more,Ask developers I know/work with,Amused,Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Linux-based,"1,000 to 4,999 employees",Docker;Kubernetes;Linux;MacOS,Docker;Kubernetes;Linux;MacOS,I have some influence,Straight / Heterosexual,Yes,Not sure,Multiple times per day,Multiple times per day,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Gatsby;React.js,Gatsby;React.js,Just as welcome now as I felt last year,16,3,2
96,I am a developer by profession,Yes,30,13,Yearly,1.00E+05,75631,Canada,Canadian dollar,CAD,NA,Cassandra;Elasticsearch,"Developer, back-end","Bachelorü??s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Woman,"Diversity of the company or organization;Languages, frameworks, and other technologies Iü??d be working with;Opportunities for professional development",Slightly dissatisfied,I am actively looking for a job,Bash/Shell/PowerShell;Go;Java;Rust,Bash/Shell/PowerShell;Go;Java;JavaScript;Rust;TypeScript,Unreal Engine,NA,Confluence;Jira;Github;Slack;Microsoft Teams,Confluence;Jira;Github;Gitlab;Slack;Microsoft Teams;Trello,Yes,Extremely important,Fairly important,Curious about other opportunities;Better compensation;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once a year,No,No,No,Sometimes: 1-2 days per month but less than weekly,NA,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Go for a walk or other physical activity;Panic;Do other work and come back later,MacOS,"5,000 to 9,999 employees",AWS;Docker;Kubernetes;Linux,Docker;Linux;Slack Apps and Integrations,I have little or no influence,Gay or Lesbian,Yes,"No, not at all",I have never participated in Q&A on Stack Overflow,A few times per week,Easy,Appropriate in length,Yes,"Computer science, computer engineering, or software engineering",NA,NA,Just as welcome now as I felt last year,35,17,4
97,I am a developer by profession,No,29,15,Monthly,80000,41568,Czech Republic,Czech koruna,CZK,NA,NA,"Developer, desktop or enterprise applications;Engineering manager","Masterü??s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,White or of European descent,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies Iü??d be working with;Office environment or company culture",Slightly satisfied,I am not interested in new job opportunities,C++;Python,C++;Python,NA,NA,Microsoft Teams,Microsoft Teams,No,NA,Somewhat important,Better compensation;Better work/life balance;Growth or leadership opportunities,NA,Once every few years,No,Onboarding? What onboarding?,No,Rarely: 1-2 days per year or less,Start a free trial,Indifferent,Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend,Windows,100 to 499 employees,Windows,Windows,I have some influence,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per month or weekly,Daily or almost daily,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",NA,NA,Somewhat less welcome now than last year,40,10,5
98,I am a developer by profession,Yes,30,7,Yearly,105000,79413,Canada,Canadian dollar,CAD,NA,Elasticsearch;MongoDB,"Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile","Bachelorü??s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,NA,NA,"Industry that Iü??d be working in;Languages, frameworks, and other technologies Iü??d be working with;Remote work options",Very dissatisfied,I am actively looking for a job,Python;TypeScript,Go;JavaScript;Python;SQL;TypeScript,NA,Node.js;Pandas;React Native,"Trello;Google Suite (Docs, Meet, etc)","Github;Slack;Trello;Google Suite (Docs, Meet, etc)",Yes,Somewhat important,Fairly important,Better compensation;Better work/life balance;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once every few years,Not sure,Yes,No,Never,NA,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,Windows,"10,000 or more employees",NA,AWS;Docker;Heroku;Linux;MacOS;Windows,I have little or no influence,NA,Yes,"No, not really",I have never participated in Q&A on Stack Overflow,Daily or almost daily,Easy,Appropriate in length,NA,"Computer science, computer engineering, or software engineering",NA,React.js,A lot less welcome now than last year,40,15,9
99,I am a developer by profession,Yes,42,8,Yearly,93000,93000,United States,United States dollar,USD,NA,MySQL,"Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack","Associate degree (A.A., A.S., etc.)",Employed full-time,White or of European descent,"Man;Non-binary, genderqueer, or gender non-conforming",Diversity of the company or organization;Flex time or a flexible schedule;How widely used or impactful my work output would be,Very satisfied,"Iü??m not actively looking, but I am open to new opportunities",C#;JavaScript,C#;HTML/CSS;JavaScript;SQL,Unity 3D,.NET;.NET Core,"Google Suite (Docs, Meet, etc)","Jira;Microsoft Teams;Microsoft Azure;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Fairly important,Having a bad day (or week or month) at work;Curious about other opportunities;Better compensation;Wanting to work with new technologies;Looking to relocate,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family",Once every few years,Yes,Onboarding? What onboarding?,No,Rarely: 1-2 days per year or less,NA,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow,Windows,20 to 99 employees,Google Cloud Platform;Raspberry Pi,Android;Google Cloud Platform;Raspberry Pi;Windows,I have little or no influence,Bisexual;Queer,Yes,"Yes, definitely",A few times per week,Daily or almost daily,Easy,Appropriate in length,No,Web development or web design,jQuery,Angular.js;ASP.NET;ASP.NET Core;jQuery,Just as welcome now as I felt last year,32,27,11
100,I am a developer by profession,Yes,55,20,NA,NA,NA,United States,United States dollar,USD,MySQL;SQLite,MySQL;SQLite,"Database administrator;Designer;Developer, full-stack;System administrator","Bachelorü??s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",NA,Woman,"Diversity of the company or organization;Languages, frameworks, and other technologies Iü??d be working with;How widely used or impactful my work output would be",Very satisfied,I am not interested in new job opportunities,HTML/CSS;JavaScript;PHP;SQL,HTML/CSS;JavaScript;PHP;SQL,NA,NA,Github,Github;Trello,No,Neutral,Somewhat important,NA,NA,Once a year,Yes,Onboarding? What onboarding?,No,Often: 1-2 days per week or more,Start a free trial,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,Linux-based,"Just me - I am a freelancer, sole proprietor, etc.",Linux,Linux,NA,Straight / Heterosexual,Yes,"Yes, definitely",Less than once per month or monthly,A few times per month or weekly,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",NA,NA,Somewhat more welcome now than last year,40,30,25
101,I am a developer by profession,Yes,37,10,NA,NA,NA,United Kingdom,Pound sterling,GBP,NA,NA,"Developer, mobile","Masterü??s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,NA,Man,Diversity of the company or organization;Office environment or company culture;Family friendliness,Very satisfied,"Iü??m not actively looking, but I am open to new opportunities",C++;Rust;Swift,Objective-C;Swift,NA,NA,Confluence;Github;Slack,Confluence;Jira;Github;Gitlab;Slack;Trello,Yes,Neutral,Very important,Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Read other media like news articles, founder profiles, etc. about the company",Once every few years,Not sure,Yes,No,Never,Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,MacOS,500 to 999 employees,Android;iOS;MacOS,iOS;MacOS,I have some influence,NA,Yes,"Yes, somewhat",A few times per month or weekly,Daily or almost daily,Neither easy nor difficult,Too long,No,"Computer science, computer engineering, or software engineering",NA,NA,Just as welcome now as I felt last year,38,25,12
