What is your gender?,What is your age?,What is your race?,Are you hispanic?,What is your level of education?,What is your income?,What area of New York are you from?,Do you have a drivers license?,Opinion of the subway,Has this affected how often you use the subway?,Opinion on the bus service,Has this affected how often you use the bus,Relationship status,Do you get state welfare?,Are you disabled?,What type of building do you live in?,Do you rent or own your house?,Employment Status,What type of industry do you work in?,What is your preferred language?
Female,52,Two or more races,"Yes, Puerto Rican",Some high school,"Less than $14,999",Manhattan Core,No,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 10 to 49 apartments,Rent,Stay-at-home parent,NA,NA
Male,66,Two or more races,"Yes, Puerto Rican","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999",Manhattan Core,Yes,Staying the same,NA,Staying the same,NA,Living in a committed partnership,No,No,A building with 10 to 49 apartments,Own,Retired,NA,NA
Female,54,Other,"Yes, Other","High school graduate or equivalent (i.e., GED)","Less than $14,999",Northern Bronx,Yes,Staying the same,NA,Staying the same,NA,Divorced,No,No,A building with 10 to 49 apartments,Rent,Retired,NA,NA
Female,54,Black/ African American/ Caribbean American,"Yes, Other",Some college but degree not received or in progress,"Less than $14,999",Northern Manhattan,No,Staying the same,NA,NA,NA,Single,No,No,A building with 2 to 9 apartments,Own,Other,NA,NA
Male,65,American Indian or Alaska Native,"Yes, Other",Some high school,"Less than $14,999",Northern Manhattan,Yes,Getting worse,I use the subway the same amount,Getting worse,I take the bus less frequently,Married,No,No,A building with 10 to 49 apartments,Rent,Retired,NA,NA
Male,30,Refused,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$50,000 - $74,999",Southern Bronx,No,Staying the same,NA,Getting worse,I take the bus less frequently,Married,No,No,A building with 2 to 9 apartments,Own,Employed full time (working more than 30 hours per week),Financial services,NA
Male,999,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above",Manhattan Core,Yes,Getting worse,I use the subway the same amount,NA,NA,Married,No,No,A building with 10 to 49 apartments,Rent,Other,NA,NA
Male,24,Other,"Yes, Other",Some college but degree not received or in progress,"$50,000 - $74,999",Northern Manhattan,No,Getting worse,I use the subway the same amount,Getting worse,I take the bus the same amount,Single,No,No,A building with 50 or more apartments,Own,Employed full time (working more than 30 hours per week),Other,NA
Male,86,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999",Northern Bronx,Yes,NA,NA,Staying the same,NA,Married,No,No,A one family house detached from any other house,Own,Volunteer work (at least 1 day/week),NA,NA
Female,51,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","Less than $14,999",Outer Brooklyn,No,NA,NA,Getting worse,I take the bus the same amount,Single,No,No,NA,NA,Unemployed,NA,NA
Male,53,Other,"Yes, Other",Some high school,"$25,000 - $34,999",Northern Manhattan,Yes,NA,NA,Getting better,I take the bus the same amount,Living in a committed partnership,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Other,NA
Female,80,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"Less than $14,999",Inner Brooklyn,No,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 50 or more apartments,NA,NA,NA,NA
Female,46,White/Caucasian,"Yes, Other","High school graduate or equivalent (i.e., GED)","$200,000 and above",Staten Island,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Married,No,No,A one family house detached from any other house,Own,Employed part time (working less than 30 hours per week),Education,NA
Male,29,Asian,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$15,000 - $24,999",Manhattan Core,No,Getting worse,I use the subway less frequently,Staying the same,NA,Single,No,No,A building with 50 or more apartments,Rent,Part-time student,NA,NA
Female,62,Other,"Yes, Other","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999",Northern Manhattan,No,Getting better,I use the subway the same amount,Getting better,I take the bus the same amount,Single,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Other,NA
Female,77,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"Less than $14,999",Staten Island,No,Staying the same,NA,Staying the same,NA,Single,No,No,A one family house detached from any other house,Own,Retired,NA,NA
Male,53,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some high school,"Less than $14,999",Outer Brooklyn,No,Staying the same,NA,Getting better,I take the bus more frequently,Single,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),"Professional & Business Services (consulting, legal, marketing)",NA
Female,46,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some high school,"Less than $14,999",Inner Brooklyn,No,Getting better,I use the subway the same amount,Staying the same,NA,Widowed,No,No,A building with 2 to 9 apartments,Rent,Retired,NA,NA
Male,76,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",No high school,"$35,000 - $49,999",Outer Brooklyn,Yes,Getting better,Refused,Getting better,I take the bus more frequently,Divorced,No,No,A one family house attached to one or more houses,Rent,Retired,NA,NA
Female,56,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","Less than $14,999",Outer Brooklyn,No,Getting worse,I use the subway less frequently,Staying the same,NA,Married,No,No,A building with 10 to 49 apartments,Rent,Retired,NA,NA
Female,70,White/Caucasian,"Yes, Other",Some college but degree not received or in progress,"$25,000 - $34,999",Outer Brooklyn,No,NA,NA,NA,NA,Divorced,No,No,A one family house detached from any other house,Rent,Retired,NA,NA
Female,60,Two or more races,"Yes, Puerto Rican",Some high school,"Less than $14,999",Inner Brooklyn,No,Getting better,I use the subway less frequently,Getting worse,I take the bus less frequently,Widowed,No,No,A building with 2 to 9 apartments,Rent,NA,NA,NA
Female,22,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$25,000 - $34,999",Staten Island,Yes,Staying the same,NA,Getting better,I take the bus less frequently,Single,No,No,A one family house attached to one or more houses,Own,Employed part time (working less than 30 hours per week),Health Care/Social Assistance,NA
Male,74,Other,"Yes, Puerto Rican","Bachelor's degree (i.e., BA, BS, AB)","Less than $14,999",Northern Bronx,Yes,NA,NA,NA,NA,Divorced,No,No,A building with 10 to 49 apartments,Rent,Retired,NA,NA
Female,19,Asian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$35,000 - $49,999",Manhattan Core,No,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 10 to 49 apartments,Rent,Full time student,NA,NA
Male,45,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999",Staten Island,Yes,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 2 to 9 apartments,Rent,Employed full time (working more than 30 hours per week),Transportation and Utilities,NA
Female,57,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$100,000 - $149,999",Staten Island,Yes,NA,NA,NA,NA,Married,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),"Professional & Business Services (consulting, legal, marketing)",NA
Female,34,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"Less than $14,999",Outer Queens,Yes,NA,NA,Staying the same,NA,Single,No,No,A building with 2 to 9 apartments,Rent,Part-time student,NA,NA
Female,61,Other,"Yes, Other","High school graduate or equivalent (i.e., GED)","$35,000 - $49,999",Manhattan Core,Yes,NA,NA,Staying the same,NA,Married,No,No,A building with 50 or more apartments,Rent,Unemployed,NA,NA
Female,73,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$15,000 - $24,999",Inner Brooklyn,Yes,Staying the same,NA,Getting better,I take the bus the same amount,Widowed,No,No,A building with 50 or more apartments,Own,Retired,NA,NA
Female,63,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","Less than $14,999",Inner Brooklyn,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Married,No,No,A building with 10 to 49 apartments,Rent,Employed part time (working less than 30 hours per week),Health Care/Social Assistance,NA
Female,83,Other,"Yes, Other",No high school,"Less than $14,999",Northern Manhattan,No,Refused,NA,Staying the same,NA,Widowed,No,Yes,A building with 2 to 9 apartments,Rent,Other,NA,NA
Female,67,American Indian or Alaska Native,"Yes, Other","Bachelor's degree (i.e., BA, BS, AB)","$15,000 - $24,999",Northern Manhattan,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Divorced,No,No,A building with 10 to 49 apartments,Rent,Retired,NA,NA
Female,80,Other,"Yes, Other",Some high school,"$50,000 - $74,999",Northern Manhattan,No,NA,NA,Getting better,I take the bus the same amount,Single,Yes,No,A building with 10 to 49 apartments,Rent,Other,NA,NA
Male,65,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$15,000 - $24,999",Manhattan Core,No,Staying the same,NA,Staying the same,NA,Married,No,No,A building with 10 to 49 apartments,Rent,Retired,NA,NA
Female,30,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$25,000 - $34,999",Manhattan Core,No,Getting worse,I use the subway more frequently,Staying the same,NA,Single,No,No,A building with 10 to 49 apartments,Rent,Full time student,NA,NA
Male,68,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$150,000-$199,999",Manhattan Core,Yes,Getting worse,I use the subway the same amount,NA,NA,Married,No,No,A building with 10 to 49 apartments,Own,Employed full time (working more than 30 hours per week),Education,NA
Female,65,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some high school,"Less than $14,999",Outer Brooklyn,No,Getting better,I use the subway less frequently,Getting worse,I take the bus the same amount,Married,No,No,A building with 50 or more apartments,Rent,Retired,NA,NA
Female,24,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"Less than $14,999",Inner Brooklyn,No,Getting worse,I use the subway the same amount,Getting worse,I take the bus less frequently,Single,No,No,A building with 50 or more apartments,Rent,Full time student,NA,NA
Female,49,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$200,000 and above",Inner Brooklyn,Yes,Staying the same,NA,Staying the same,NA,Married,No,No,A one family house attached to one or more houses,Own,Employed full time (working more than 30 hours per week),Financial services,NA
Male,64,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Inner Brooklyn,Yes,Staying the same,NA,Staying the same,NA,Married,No,Yes,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),Government,NA
Male,69,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some high school,"$35,000 - $49,999",Inner Brooklyn,No,NA,NA,Staying the same,NA,Married,No,No,A one family house detached from any other house,Own,Retired,NA,NA
Female,70,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999",Inner Brooklyn,Yes,Staying the same,NA,Staying the same,NA,Widowed,No,No,A building with 10 to 49 apartments,Rent,Retired,NA,NA
Female,59,White/Caucasian,"Yes, Other","High school graduate or equivalent (i.e., GED)","$25,000 - $34,999",Northern Manhattan,No,Getting worse,I use the subway the same amount,Getting worse,I take the bus the same amount,Married,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Health Care/Social Assistance,NA
Female,55,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$35,000 - $49,999",Inner Brooklyn,No,Getting worse,I use the subway less frequently,Getting better,I take the bus the same amount,Divorced,No,No,NA,NA,Employed full time (working more than 30 hours per week),Health Care/Social Assistance,NA
Female,71,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999",Inner Brooklyn,Yes,Getting worse,I use the subway less frequently,Staying the same,NA,Divorced,No,No,A building with 50 or more apartments,Rent,Retired,NA,NA
Female,59,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some high school,"Less than $14,999",Inner Brooklyn,Yes,Getting worse,I use the subway the same amount,Getting worse,I take the bus the same amount,Single,No,No,A building with 2 to 9 apartments,Rent,Retired,NA,NA
Female,65,Other,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$25,000 - $34,999",Outer Brooklyn,Yes,Getting better,I use the subway the same amount,Staying the same,NA,Divorced,No,No,A building with 50 or more apartments,Rent,Retired,NA,NA
Female,80,Black/ African American/ Caribbean American,"Yes, Other","High school graduate or equivalent (i.e., GED)","Less than $14,999",Inner Queens,No,Staying the same,NA,Staying the same,NA,Divorced,No,No,A one family house detached from any other house,Rent,Employed full time (working more than 30 hours per week),Other,NA
Female,79,Other,"Yes, Mexican, Mexican American, Chicano","High school graduate or equivalent (i.e., GED)","$25,000 - $34,999",Inner Brooklyn,No,NA,NA,NA,NA,Widowed,No,No,A building with 50 or more apartments,Rent,Retired,NA,NA
Female,71,Black/ African American/ Caribbean American,"Yes, Other",No high school,"Less than $14,999",Inner Brooklyn,No,Getting worse,I use the subway the same amount,Getting worse,I take the bus the same amount,Single,No,No,A building with 10 to 49 apartments,Rent,Stay-at-home parent,NA,NA
Female,50,Other,"Yes, Other","High school graduate or equivalent (i.e., GED)","$25,000 - $34,999",Inner Brooklyn,Yes,Getting better,I use the subway less frequently,Getting better,I take the bus the same amount,Single,No,No,A building with 2 to 9 apartments,Rent,Employed full time (working more than 30 hours per week),Transportation and Utilities,NA
Female,49,Other,"Yes, Puerto Rican","Bachelor's degree (i.e., BA, BS, AB)","$25,000 - $34,999",Inner Brooklyn,No,Getting worse,I use the subway less frequently,Staying the same,NA,Single,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Education,NA
Female,80,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$25,000 - $34,999",Inner Brooklyn,No,Staying the same,NA,Getting worse,I take the bus the same amount,Single,No,No,A building with 50 or more apartments,Rent,Retired,NA,NA
Male,89,Black/ African American/ Caribbean American,"Yes, Other",No high school,"Less than $14,999",Inner Queens,No,NA,NA,Getting worse,I take the bus the same amount,Widowed,No,Yes,A building with 2 to 9 apartments,Rent,Retired,NA,NA
Female,48,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$200,000 and above",Outer Brooklyn,Yes,Getting worse,I use the subway less frequently,Staying the same,NA,Divorced,No,No,A one family house detached from any other house,Rent,Employed full time (working more than 30 hours per week),Transportation and Utilities,NA
Female,43,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$75,000 - $99,999",Inner Brooklyn,No,Getting worse,I use the subway the same amount,Staying the same,NA,Married,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Government,NA
Female,59,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$75,000 - $99,999",Outer Brooklyn,Yes,NA,NA,NA,NA,Single,No,No,A one family house attached to one or more houses,Rent,Employed full time (working more than 30 hours per week),Transportation and Utilities,NA
Female,20,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$25,000 - $34,999",Outer Brooklyn,No,Staying the same,NA,Getting better,I take the bus less frequently,Single,No,No,A building with 10 to 49 apartments,Rent,Full time student,NA,NA
Female,35,Other,"Yes, Other",Some college but degree not received or in progress,"Less than $14,999",Northern Manhattan,Yes,Getting worse,I use the subway less frequently,Staying the same,NA,Single,No,No,A building with 2 to 9 apartments,Rent,Employed part time (working less than 30 hours per week),Other,NA
Female,52,NA,"Yes, Other",Some high school,"Less than $14,999",Inner Brooklyn,Yes,Getting worse,I use the subway the same amount,Getting worse,I take the bus less frequently,Single,No,No,A one family house attached to one or more houses,Rent,Employed full time (working more than 30 hours per week),Health Care/Social Assistance,NA
Female,70,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$25,000 - $34,999",Outer Brooklyn,No,NA,NA,Staying the same,NA,Widowed,No,No,A one family house detached from any other house,Own,Retired,NA,NA
Female,62,White/Caucasian,"Yes, Puerto Rican","High school graduate or equivalent (i.e., GED)","Less than $14,999",Southern Bronx,No,Getting worse,NA,Staying the same,NA,Widowed,No,No,A building with 50 or more apartments,Rent,Stay-at-home parent,NA,NA
Male,43,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999",Outer Brooklyn,Yes,Getting worse,I use the subway less frequently,Staying the same,NA,Married,No,No,A one family house attached to one or more houses,Own,Employed full time (working more than 30 hours per week),Government,NA
Female,30,Black/ African American/ Caribbean American,"Yes, Other",Some college but degree not received or in progress,"$15,000 - $24,999",Southern Bronx,No,Getting worse,I use the subway the same amount,Getting better,NA,Single,No,No,NA,NA,Employed part time (working less than 30 hours per week),NA,NA
Male,56,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$35,000 - $49,999",Outer Brooklyn,Yes,Getting worse,I use the subway the same amount,Getting worse,NA,Single,No,No,A building with 2 to 9 apartments,Own,Employed full time (working more than 30 hours per week),Hospitality,NA
Female,74,Other,"Yes, Other",No high school,"Less than $14,999",Southern Bronx,No,Getting worse,I use the subway less frequently,Getting worse,I take the bus less frequently,Single,Yes,No,A building with 50 or more apartments,Rent,Retired,NA,NA
Female,60,Other,"Yes, Other",Some high school,"Less than $14,999",Northern Bronx,No,Getting worse,I use the subway less frequently,Getting worse,I take the bus less frequently,Single,No,No,A one family house attached to one or more houses,Rent,Employed full time (working more than 30 hours per week),Financial services,NA
Male,52,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$200,000 and above",Staten Island,Yes,Staying the same,NA,Staying the same,NA,Married,No,No,A one family house detached from any other house,Own,Retired,NA,NA
Male,38,Other,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","Less than $14,999",Outer Brooklyn,Yes,Staying the same,NA,Staying the same,NA,Divorced,No,No,A one family house detached from any other house,Rent,Other,NA,NA
Female,83,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","Less than $14,999",Southern Bronx,No,Getting worse,I use the subway less frequently,Getting worse,I take the bus the same amount,Widowed,No,No,A building with 50 or more apartments,Rent,Retired,NA,NA
Female,52,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Staten Island,Yes,Staying the same,NA,Staying the same,NA,Married,No,No,A one family house attached to one or more houses,Own,Employed full time (working more than 30 hours per week),Non-profit,NA
Female,40,Black/ African American/ Caribbean American,"Yes, Other",Some college but degree not received or in progress,"$150,000-$199,999",Outer Queens,Yes,Getting worse,I use the subway the same amount,Getting better,I take the bus more frequently,Married,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),Financial services,NA
Female,30,Two or more races,"Yes, Other","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999",Southern Bronx,No,Getting worse,I use the subway the same amount,Staying the same,NA,Divorced,No,No,A one family house detached from any other house,Rent,Employed part time (working less than 30 hours per week),NA,NA
Female,42,Other,"Yes, Other",Some high school,"$15,000 - $24,999",Southern Bronx,No,Getting better,I use the subway the same amount,Getting better,I take the bus the same amount,Single,No,No,A building with 10 to 49 apartments,Rent,Employed part time (working less than 30 hours per week),Health Care/Social Assistance,NA
Female,60,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$100,000 - $149,999",Outer Queens,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Married,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),Government,NA
Female,66,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$50,000 - $74,999",Outer Queens,Yes,Staying the same,NA,Staying the same,NA,Living in a committed partnership,No,No,A building with 50 or more apartments,Rent,Retired,NA,NA
Female,54,Other,"Yes, Other",Some high school,"Less than $14,999",Northern Manhattan,No,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 2 to 9 apartments,Rent,Employed part time (working less than 30 hours per week),"Professional & Business Services (consulting, legal, marketing)",NA
Female,60,Black/ African American/ Caribbean American,"Yes, Other","High school graduate or equivalent (i.e., GED)","$35,000 - $49,999",Northern Manhattan,Yes,Staying the same,NA,Getting worse,I take the bus the same amount,Married,No,No,A building with 10 to 49 apartments,Rent,Retired,NA,NA
Female,21,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999",Inner Brooklyn,Yes,Staying the same,NA,Getting worse,I take the bus less frequently,Married,Yes,No,A building with 2 to 9 apartments,Rent,Employed full time (working more than 30 hours per week),Education,NA
Female,60,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"Less than $14,999",Outer Queens,No,Getting worse,I use the subway less frequently,Getting better,I take the bus more frequently,Single,No,No,A building with 2 to 9 apartments,Rent,Stay-at-home parent,NA,NA
Female,89,Other,"Yes, Other",Some high school,"Less than $14,999",Northern Manhattan,No,Staying the same,NA,Staying the same,NA,Widowed,Yes,No,A building with 10 to 49 apartments,Rent,Retired,NA,NA
Female,51,Other,"Yes, Other",Some high school,"Less than $14,999",Northern Manhattan,No,Staying the same,NA,Staying the same,NA,Divorced,No,No,A building with 50 or more apartments,Own,Part-time student,NA,NA
Female,999,Refused,"Yes, Other","Bachelor's degree (i.e., BA, BS, AB)","Less than $14,999",Inner Queens,No,Staying the same,NA,Staying the same,NA,Widowed,No,No,A building with 50 or more apartments,Rent,Unemployed,NA,NA
Female,999,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Outer Queens,Yes,NA,NA,NA,NA,Widowed,No,No,A one family house detached from any other house,Own,Retired,NA,NA
Male,81,White/Caucasian,"Yes, Puerto Rican",Some high school,"Less than $14,999",Middle Queens,No,Staying the same,NA,Staying the same,NA,Married,No,No,A building with 10 to 49 apartments,Rent,Retired,NA,NA
Female,33,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$15,000 - $24,999",Outer Brooklyn,Yes,Staying the same,NA,Getting better,NA,Married,No,No,A building with 50 or more apartments,Rent,Stay-at-home parent,NA,NA
Female,48,Black/ African American/ Caribbean American,"Yes, Puerto Rican","High school graduate or equivalent (i.e., GED)","$35,000 - $49,999",Northern Manhattan,No,Getting worse,I use the subway less frequently,Getting worse,I take the bus less frequently,Married,No,No,A building with 50 or more apartments,Rent,Retired,NA,NA
Male,62,Asian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999",Outer Brooklyn,Yes,Getting worse,I use the subway more frequently,NA,NA,Married,No,No,A one family house attached to one or more houses,Own,Employed full time (working more than 30 hours per week),Other,NA
Male,72,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$25,000 - $34,999",Southern Bronx,Yes,Getting better,I use the subway more frequently,Getting better,I take the bus more frequently,Widowed,No,No,A one family house detached from any other house,Rent,Retired,NA,NA
Male,55,Refused,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$100,000 - $149,999",Southern Bronx,No,Staying the same,NA,Staying the same,NA,Married,No,No,A building with 2 to 9 apartments,Rent,Employed full time (working more than 30 hours per week),Hospitality,NA
Male,49,Two or more races,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above",Staten Island,Yes,Staying the same,NA,NA,NA,Married,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),"Professional & Business Services (consulting, legal, marketing)",NA
Male,21,Asian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$25,000 - $34,999",Inner Queens,No,Getting better,I use the subway the same amount,Staying the same,NA,Single,No,No,A building with 2 to 9 apartments,Rent,Full time student,NA,NA
Female,25,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$50,000 - $74,999",Outer Brooklyn,No,Staying the same,NA,Staying the same,NA,Married,No,No,A building with 10 to 49 apartments,Rent,Other,NA,NA
Female,43,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$15,000 - $24,999",Inner Brooklyn,No,Getting worse,I use the subway less frequently,Getting worse,I take the bus the same amount,Divorced,No,No,A building with 10 to 49 apartments,Rent,Volunteer work (at least 1 day/week),NA,NA
Male,95,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some high school,"$50,000 - $74,999",Outer Brooklyn,Yes,Staying the same,NA,Staying the same,NA,Widowed,No,No,A one family house detached from any other house,Own,Retired,NA,NA
Female,43,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$50,000 - $74,999",Northern Manhattan,Yes,Staying the same,NA,Staying the same,NA,Married,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Media,NA
Female,66,Other,"Yes, Other","High school graduate or equivalent (i.e., GED)","Less than $14,999",Staten Island,No,Getting worse,I use the subway less frequently,NA,NA,Married,No,No,A one family house attached to one or more houses,Rent,Unemployed,NA,NA
Male,71,Refused,"Yes, Puerto Rican",Some high school,"Less than $14,999",Inner Queens,No,Getting worse,I use the subway less frequently,Getting worse,I take the bus less frequently,Divorced,Yes,No,A building with 2 to 9 apartments,Rent,Other,NA,NA
Female,23,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$25,000 - $34,999",Outer Brooklyn,Yes,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Media,NA
Male,41,Two or more races,"Yes, Other",Some college but degree not received or in progress,"$50,000 - $74,999",Southern Bronx,Yes,Getting better,I use the subway the same amount,Staying the same,NA,Single,No,No,A building with 50 or more apartments,Rent,Employed part time (working less than 30 hours per week),Financial services,NA
Female,79,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some high school,"Less than $14,999",Inner Brooklyn,Yes,NA,NA,Getting better,I take the bus more frequently,Divorced,No,No,A one family house attached to one or more houses,Rent,Retired,NA,NA
Female,71,Other,"Yes, Other",Some high school,"Less than $14,999",Southern Bronx,No,Getting worse,I use the subway less frequently,Getting worse,I take the bus less frequently,Widowed,No,No,A building with 50 or more apartments,Rent,Retired,NA,NA
Female,23,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","Less than $14,999",Inner Brooklyn,No,NA,NA,NA,NA,Married,No,No,A building with 10 to 49 apartments,Rent,Stay-at-home parent,NA,NA
